Player,salary,Season,Position,Age,Team,Games Played,Games Started,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Pointers Made,Three Pointers Attempted,Three Pointers Percentage,Two Pointers Made,Two Pointers Attempted,Two Pointers Percentage,Effective Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points Scored
Stephen Curry,45780966,2022,PG,33,GSW,64,64.0,2211.0,535,1224,0.437,285.0,750.0,0.38,250,474,0.527,0.554,275,298,0.923,34.0,301.0,335.0,404,85.0,23.0,206.0,130,1630
James Harden,44310840,2022,PG,32,TOT,65,65.0,2419.0,407,992,0.41,148.0,448.0,0.33,259,544,0.476,0.485,470,536,0.877,55.0,445.0,500.0,667,82.0,36.0,284.0,153,1432
Russell Westbrook,44211146,2022,PG,33,LAL,78,78.0,2678.0,548,1233,0.444,79.0,265.0,0.298,469,968,0.485,0.476,266,399,0.667,110.0,470.0,580.0,550,75.0,20.0,295.0,235,1441
Kevin Durant,42018900,2022,PF,33,BRK,55,55.0,2047.0,578,1115,0.518,115.0,300.0,0.383,463,815,0.568,0.57,372,409,0.91,29.0,378.0,407.0,351,48.0,52.0,191.0,113,1643
LeBron James,41180544,2022,C,37,LAL,56,56.0,2084.0,640,1221,0.524,161.0,448.0,0.359,479,773,0.62,0.59,254,336,0.756,63.0,396.0,459.0,349,73.0,59.0,196.0,121,1695
Paul George,39344970,2022,PF,31,LAC,31,31.0,1077.0,268,636,0.421,91.0,257.0,0.354,177,379,0.467,0.493,127,148,0.858,12.0,201.0,213.0,176,67.0,13.0,126.0,74,754
Giannis Antetokounmpo,39344900,2022,PF,27,MIL,67,67.0,2204.0,689,1245,0.553,71.0,242.0,0.293,618,1003,0.616,0.582,553,766,0.722,134.0,644.0,778.0,388,72.0,91.0,219.0,212,2002
Damian Lillard,39344900,2022,PG,31,POR,29,29.0,1056.0,222,552,0.402,92.0,284.0,0.324,130,268,0.485,0.486,159,181,0.878,13.0,107.0,120.0,212,17.0,11.0,83.0,37,695
Klay Thompson,37980720,2022,SG,31,GSW,32,32.0,941.0,246,573,0.429,114.0,296.0,0.385,132,277,0.477,0.529,46,51,0.902,15.0,110.0,125.0,88,16.0,17.0,43.0,54,652
Jimmy Butler,36016200,2022,SF,32,MIA,57,57.0,1931.0,398,829,0.48,27.0,116.0,0.233,371,713,0.52,0.496,396,455,0.87,102.0,234.0,336.0,312,94.0,27.0,121.0,88,1219
